rider_name,team
POGA?AR Tadej,UAE Team Emirates
VINGEGAARD Jonas,Team Visma | Lease a Bike
DEL TORO Isaac,UAE Team Emirates
ALMEIDA João,UAE Team Emirates
PEDERSEN Mads,Lidl-Trek
EVENEPOEL Remco,Soudal Quick-Step
VAN DER POEL Mathieu,Alpecin-Deceuninck
PIDCOCK Thomas,Q36.5 Pro Cycling Team
HEALY Ben,EF Education-EasyPost
CICCONE Giulio,Lidl-Trek
AYUSO Juan,UAE Team Emirates
JORGENSON Matteo,Team Visma | Lease a Bike
ONLEY Oscar,Team dsm-firmenich PostNL
VAN AERT Wout,Team Visma | Lease a Bike
YATES Simon,Team Visma | Lease a Bike
VINE Jay,UAE Team Emirates
GALL Felix,Decathlon AG2R La Mondiale
LIPOWITZ Florian,Red Bull-BORA-hansgrohe
ROGLI? Primož,Red Bull-BORA-hansgrohe
SKJELMOSE Mattias,Lidl-Trek
